date,video,video_title,subscribers
2007-07-11,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-12,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-13,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-14,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-15,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-16,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-17,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-18,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-19,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-20,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-21,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-22,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-23,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-24,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-25,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-26,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-27,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-28,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
2007-07-29,CZQBHFp6ZzM,Desarrollo de aplicaciones sobre la red blockchain Etherum. Dapps.,0
